day_number;evaporation
282;25.3233116215021
283;25.1310911441621
284;26.1209838592877
285;25.811746920695
286;26.1103345873945
287;24.8765533255489
288;24.2538562105346
289;23.9262979837539
290;24.5807293656222
291;24.7190197315985
292;23.7385685364068
293;23.2399487483062
294;23.1338524539594
295;23.467610391901
296;24.1022036494346
297;23.3094222372058
298;22.7967817749649
299;21.8936473383166
300;21.6604304148229
301;21.6624515196376
302;21.567477358229
303;21.4776207519486
304;20.9847232708718
305;20.7196867457466
306;20.5544833052855
307;20.5272679756458
308;20.5554387554697
309;20.3350008701368
310;19.7797304155215
311;19.261929845555
312;19.1463304620906
313;18.6399008404501
314;18.5133624487191
315;18.465097465285
316;18.7998829688482
317;18.773286665822
318;18.331349970239
319;18.1251993841195
320;17.9288301013631
321;18.0570344634937
322;17.8123443415708
